ID	ACCESSION-2	Start	End	strand	Chromosome
NCU05989	NCU05989.7	3170616	3172603	-	supercont10.6 of Neurospora crassa (OR74A)
NCU11293	NCU11293.7	700779	701177	+	supercont10.4 of Neurospora crassa (OR74A)
NCU01409	NCU01409.7	3958941	3962351	-	supercont10.5 of Neurospora crassa (OR74A)
NCU01794	NCU01794.7	2392643	2393531	+	supercont10.2 of Neurospora crassa (OR74A)
NCU00046	NCU00046.7	2398920	2402052	-	supercont10.3 of Neurospora crassa (OR74A)
NCU08485	NCU08485.7	3503130	3505102	-	supercont10.2 of Neurospora crassa (OR74A)
NCU01124	NCU01124.7	2976830	2978199	-	supercont10.5 of Neurospora crassa (OR74A)
NCU07429	NCU07429.7	658020	658981	-	supercont10.1 of Neurospora crassa (OR74A)
NCU06346	NCU06346.7	2827537	2828757	+	supercont10.4 of Neurospora crassa (OR74A)
NCU11712	NCU16777.7	1311151	1312385	+	supercont10.4 of Neurospora crassa (OR74A)
NCU07283	NCU07283.7	4523554	4525327	-	supercont10.4 of Neurospora crassa (OR74A)
NCU07972	NCU07972.7	1186422	1187460	+	supercont10.4 of Neurospora crassa (OR74A)
NCU09049	NCU09049.7	3801631	3802916	+	supercont10.7 of Neurospora crassa (OR74A)
NCU10497	NCU10497.7	3269966	3272838	+	supercont10.1 of Neurospora crassa (OR74A)
NCU03220	NCU03220.7	4947251	4952819	+	supercont10.1 of Neurospora crassa (OR74A)
NCU00873	NCU00873.7	6901541	6903211	+	supercont10.1 of Neurospora crassa (OR74A)
NCU06974	NCU06974.7	4723842	4725025	+	supercont10.4 of Neurospora crassa (OR74A)
NCU01500	NCU01500.7	3257752	3259379	+	supercont10.2 of Neurospora crassa (OR74A)
NCU01528	NCU01528.7	3180356	3182245	+	supercont10.2 of Neurospora crassa (OR74A)
NCU01878	NCU01878.7	2176997	2181105	+	supercont10.1 of Neurospora crassa (OR74A)
NCU02570	NCU02570.7	2764510	2766047	+	supercont10.1 of Neurospora crassa (OR74A)
NCU00292	NCU00292.7	3337759	3340089	+	supercont10.3 of Neurospora crassa (OR74A)
NCU12109	NCU17077.7	1026819	1028705	-	supercont10.6 of Neurospora crassa (OR74A)
NCU03043	NCU03043.7	8331370	8333790	+	supercont10.1 of Neurospora crassa (OR74A)
NCU06734	NCU06734.7	2107352	2111810	+	supercont10.2 of Neurospora crassa (OR74A)
NCU02869	NCU02869.7	8860254	8862109	-	supercont10.1 of Neurospora crassa (OR74A)
NCU01289	NCU01289.7	3535323	3537772	-	supercont10.5 of Neurospora crassa (OR74A)
NCU04238	NCU04238.7	5316473	5318288	+	supercont10.5 of Neurospora crassa (OR74A)
NCU05340	NCU05340.7	1367638	1369474	+	supercont10.2 of Neurospora crassa (OR74A)
NCU12119	NCU12119.7	1647245	1648089	-	supercont10.6 of Neurospora crassa (OR74A)
NCU05795	NCU05795.7	402461	403605	+	supercont10.7 of Neurospora crassa (OR74A)
NCU11549	NCU16461.7	8010563	8011377	-	supercont10.1 of Neurospora crassa (OR74A)
NCU07461	NCU07461.7	549633	552252	-	supercont10.1 of Neurospora crassa (OR74A)
NCU06134	NCU06134.7	2571427	2572629	-	supercont10.7 of Neurospora crassa (OR74A)
NCU07765	NCU07765.7	380553	382108	+	supercont10.5 of Neurospora crassa (OR74A)
NCU00824	NCU00824.7	7046029	7049048	-	supercont10.1 of Neurospora crassa (OR74A)
NCU01587	NCU01587.7	3016869	3019011	+	supercont10.2 of Neurospora crassa (OR74A)
NCU08171	NCU08171.7	632443	633952	-	supercont10.7 of Neurospora crassa (OR74A)
NCU08903	NCU08903.7	695988	697326	-	supercont10.5 of Neurospora crassa (OR74A)
NCU12017	NCU17203.7	728159	729080	+	supercont10.7 of Neurospora crassa (OR74A)
NCU06349	NCU06349.7	2820779	2822253	+	supercont10.4 of Neurospora crassa (OR74A)
NCU07081	NCU07081.7	223196	225106	+	supercont10.6 of Neurospora crassa (OR74A)
NCU00229	NCU00229.7	3091017	3091822	+	supercont10.3 of Neurospora crassa (OR74A)
NCU09261	NCU09261.7	9371675	9372410	-	supercont10.1 of Neurospora crassa (OR74A)
NCU00206	NCU00206.7	3004156	3007087	-	supercont10.3 of Neurospora crassa (OR74A)
NCU07440	NCU07440.7	621626	624804	-	supercont10.1 of Neurospora crassa (OR74A)
NCU02256	NCU02256.7	1089726	1092535	+	supercont10.7 of Neurospora crassa (OR74A)
NCU00066	NCU00066.7	2491525	2494983	-	supercont10.3 of Neurospora crassa (OR74A)
NCU10733	NCU10733.7	835277	840346	+	supercont10.6 of Neurospora crassa (OR74A)
NCU00153	NCU00153.7	2805065	2807033	+	supercont10.3 of Neurospora crassa (OR74A)
NCU03903	NCU03903.7	2531355	2532845	-	supercont10.6 of Neurospora crassa (OR74A)
NCU03325	NCU03325.7	5314540	5317331	-	supercont10.1 of Neurospora crassa (OR74A)
NCU07305	NCU07305.7	4444292	4446818	-	supercont10.4 of Neurospora crassa (OR74A)
NCU11466	NCU16352.7	2219336	2220400	-	supercont10.1 of Neurospora crassa (OR74A)
NCU08793	NCU08793.7	5104545	5106028	+	supercont10.3 of Neurospora crassa (OR74A)
NCU03861	NCU03861.7	2714126	2717080	+	supercont10.6 of Neurospora crassa (OR74A)
NCU00771	NCU00771.7	7227671	7229650	-	supercont10.1 of Neurospora crassa (OR74A)
NCU06870	NCU06870.7	3655174	3657690	+	supercont10.7 of Neurospora crassa (OR74A)
NCU00756	NCU00756.7	7297108	7297678	-	supercont10.1 of Neurospora crassa (OR74A)
NCU11678	NCU16723.7	5827563	5828087	-	supercont10.5 of Neurospora crassa (OR74A)
NCU01704	NCU01704.7	2671645	2673797	-	supercont10.2 of Neurospora crassa (OR74A)
NCU06750	NCU06750.7	2065875	2067265	-	supercont10.2 of Neurospora crassa (OR74A)
NCU06074	NCU06074.7	2356899	2358358	+	supercont10.7 of Neurospora crassa (OR74A)
NCU02004	NCU02004.7	1706313	1708284	+	supercont10.1 of Neurospora crassa (OR74A)
NCU09848	NCU09848.7	5948289	5949602	-	supercont10.5 of Neurospora crassa (OR74A)
NCU03132	NCU03132.7	4672195	4674842	+	supercont10.1 of Neurospora crassa (OR74A)
NCU08235	NCU08235.7	4735926	4738698	+	supercont10.3 of Neurospora crassa (OR74A)
NCU01294	NCU01294.7	3553367	3556994	+	supercont10.5 of Neurospora crassa (OR74A)
NCU03925	NCU03925.7	2481768	2483485	-	supercont10.6 of Neurospora crassa (OR74A)
NCU09199	NCU09199.7	5798341	5799973	-	supercont10.1 of Neurospora crassa (OR74A)
NCU06125	NCU06125.7	2536786	2538968	+	supercont10.7 of Neurospora crassa (OR74A)
NCU09321	NCU09321.7	4252292	4255296	-	supercont10.1 of Neurospora crassa (OR74A)
NCU01277	NCU01277.7	3491009	3492685	+	supercont10.5 of Neurospora crassa (OR74A)
NCU09836	NCU09836.7	567157	568335	-	supercont10.5 of Neurospora crassa (OR74A)
NCU11578	NCU16915.7	9423601	9424338	+	supercont10.1 of Neurospora crassa (OR74A)
NCU11358	NCU10258.7	234579	236441	+	supercont10.4 of Neurospora crassa (OR74A)
NCU07900	NCU07900.7	1408588	1409727	+	supercont10.4 of Neurospora crassa (OR74A)
NCU09018	NCU09018.7	4253696	4255013	+	supercont10.3 of Neurospora crassa (OR74A)
NCU03284	NCU03284.7	5173916	5175713	+	supercont10.1 of Neurospora crassa (OR74A)
NCU02115	NCU02115.7	1203419	1207045	+	supercont10.1 of Neurospora crassa (OR74A)
NCU09230	NCU09230.7	9477602	9479179	-	supercont10.1 of Neurospora crassa (OR74A)
NCU05388	NCU05388.7	1492360	1494392	-	supercont10.2 of Neurospora crassa (OR74A)
NCU05131	NCU05131.7	3646221	3647731	+	supercont10.6 of Neurospora crassa (OR74A)
NCU08678	NCU08678.7	4136961	4138443	-	supercont10.4 of Neurospora crassa (OR74A)
NCU03368	NCU03368.7	943719	944639	-	supercont10.2 of Neurospora crassa (OR74A)
NCU04615	NCU04615.7	1489176	1493087	+	supercont10.5 of Neurospora crassa (OR74A)
NCU02199	NCU02199.7	892046	893153	+	supercont10.7 of Neurospora crassa (OR74A)
NCU03360	NCU03360.7	972934	975967	-	supercont10.2 of Neurospora crassa (OR74A)
NCU05979	NCU05979.7	3209961	3211964	+	supercont10.6 of Neurospora crassa (OR74A)
NCU05520	NCU05520.7	1633590	1634135	+	supercont10.6 of Neurospora crassa (OR74A)
NCU09313	NCU09313.7	4284364	4287307	-	supercont10.1 of Neurospora crassa (OR74A)
NCU04496	NCU04496.7	3174752	3175872	-	supercont10.4 of Neurospora crassa (OR74A)
NCU02134	NCU02134.7	1130546	1133893	-	supercont10.1 of Neurospora crassa (OR74A)
NCU02583	NCU02583.7	2809322	2813624	+	supercont10.1 of Neurospora crassa (OR74A)
NCU04751	NCU04751.7	675077	676905	-	supercont10.6 of Neurospora crassa (OR74A)
NCU05318	NCU05318.7	5343330	5344157	+	supercont10.4 of Neurospora crassa (OR74A)
NCU11151	NCU11151.7	3545443	3546017	+	supercont10.5 of Neurospora crassa (OR74A)
NCU04007	NCU04007.7	2205713	2210336	+	supercont10.6 of Neurospora crassa (OR74A)
NCU03780	NCU03780.7	2388165	2388943	-	supercont10.5 of Neurospora crassa (OR74A)
NCU07527	NCU07527.7	4492894	4494975	+	supercont10.3 of Neurospora crassa (OR74A)
NCU07496	NCU07496.7	409003	415191	-	supercont10.1 of Neurospora crassa (OR74A)
NCU11748	NCU16826.7	3185178	3186683	+	supercont10.4 of Neurospora crassa (OR74A)
NCU04415	NCU04415.7	3446622	3449120	-	supercont10.4 of Neurospora crassa (OR74A)
NCU11493	NCU16384.7	4142143	4142751	-	supercont10.1 of Neurospora crassa (OR74A)
NCU03506	NCU03506.7	442901	443676	-	supercont10.2 of Neurospora crassa (OR74A)
NCU00123	NCU00123.7	2699575	2701165	-	supercont10.3 of Neurospora crassa (OR74A)
NCU02022	NCU02022.7	1647684	1650672	+	supercont10.1 of Neurospora crassa (OR74A)
NCU05550	NCU05550.7	1544429	1546061	-	supercont10.6 of Neurospora crassa (OR74A)
NCU08031	NCU08031.7	3968520	3969689	+	supercont10.4 of Neurospora crassa (OR74A)
NCU12104	NCU12104.7	936864	937990	+	supercont10.6 of Neurospora crassa (OR74A)
NCU09272	NCU09272.7	4129946	4133293	-	supercont10.7 of Neurospora crassa (OR74A)
NCU11891	NCU16512.7	5159804	5160637	-	supercont10.3 of Neurospora crassa (OR74A)
NCU11258	NCU11258.7	1767779	1768900	-	supercont10.7 of Neurospora crassa (OR74A)
NCU10037	NCU10037.7	5949691	5951318	+	supercont10.4 of Neurospora crassa (OR74A)
NCU10847	NCU10847.7	6636162	6638097	-	supercont10.1 of Neurospora crassa (OR74A)
NCU07964	NCU07964.7	1211735	1212867	-	supercont10.4 of Neurospora crassa (OR74A)
NCU04351	NCU04351.7	3680488	3682557	-	supercont10.4 of Neurospora crassa (OR74A)
NCU05563	NCU05563.7	1509095	1511350	+	supercont10.6 of Neurospora crassa (OR74A)
NCU09527	NCU09527.7	4472981	4475023	+	supercont10.5 of Neurospora crassa (OR74A)
NCU11757	NCU16846.7	3580969	3582495	+	supercont10.4 of Neurospora crassa (OR74A)
NCU01530	NCU01530.7	3176118	3176801	+	supercont10.2 of Neurospora crassa (OR74A)
NCU00213	NCU00213.7	3026762	3029428	-	supercont10.3 of Neurospora crassa (OR74A)
NCU09328	NCU09328.7	4216631	4218403	+	supercont10.1 of Neurospora crassa (OR74A)
NCU07011	NCU07011.7	4899893	4903421	+	supercont10.4 of Neurospora crassa (OR74A)
NCU09883	NCU09883.7	6347438	6351666	+	supercont10.1 of Neurospora crassa (OR74A)
NCU04767	NCU04767.7	743837	747866	+	supercont10.6 of Neurospora crassa (OR74A)
NCU00339	NCU00339.7	3505201	3506178	-	supercont10.3 of Neurospora crassa (OR74A)
NCU04343	NCU04343.7	3707178	3711104	-	supercont10.4 of Neurospora crassa (OR74A)
NCU08207	NCU08207.7	4640146	4641315	+	supercont10.3 of Neurospora crassa (OR74A)
NCU11095	NCU11095.7	7319200	7320633	-	supercont10.1 of Neurospora crassa (OR74A)
NCU09895	NCU09895.7	3990932	3992684	+	supercont10.1 of Neurospora crassa (OR74A)
NCU08697	NCU08697.7	3718787	3722533	+	supercont10.2 of Neurospora crassa (OR74A)
NCU03323	NCU03323.7	5308563	5310280	-	supercont10.1 of Neurospora crassa (OR74A)
NCU04859	NCU04859.7	498451	502502	+	supercont10.4 of Neurospora crassa (OR74A)
NCU11695	NCU16755.7	172430	173830	+	supercont10.4 of Neurospora crassa (OR74A)
NCU00606	NCU00606.7	7858635	7859423	-	supercont10.1 of Neurospora crassa (OR74A)
NCU01824	NCU01824.7	2276123	2278462	+	supercont10.2 of Neurospora crassa (OR74A)
NCU06954	NCU06954.7	3366616	3367368	-	supercont10.7 of Neurospora crassa (OR74A)
NCU07281	NCU07281.7	4532738	4534950	-	supercont10.4 of Neurospora crassa (OR74A)
NCU08997	NCU08997.7	4171421	4173508	+	supercont10.3 of Neurospora crassa (OR74A)
NCU03800	NCU03800.7	2456982	2458116	-	supercont10.5 of Neurospora crassa (OR74A)
NCU08889	NCU08889.7	754580	759895	+	supercont10.5 of Neurospora crassa (OR74A)
NCU04276	NCU04276.7	5467788	5468873	-	supercont10.5 of Neurospora crassa (OR74A)
NCU11729	NCU16802.7	2233762	2236148	+	supercont10.4 of Neurospora crassa (OR74A)
NCU06351	NCU06351.7	2815755	2817609	+	supercont10.4 of Neurospora crassa (OR74A)
NCU10595	NCU10595.7	4503494	4505419	-	supercont10.1 of Neurospora crassa (OR74A)
NCU12040	NCU12040.7	2394631	2395780	-	supercont10.7 of Neurospora crassa (OR74A)
NCU11198	NCU00972.7	6538989	6540345	+	supercont10.1 of Neurospora crassa (OR74A)
NCU07757	NCU07757.7	403399	404887	+	supercont10.5 of Neurospora crassa (OR74A)
NCU05697	NCU05697.7	545454	547721	+	supercont10.3 of Neurospora crassa (OR74A)
NCU10304	NCU10304.7	1401740	1404449	-	supercont10.7 of Neurospora crassa (OR74A)
NCU04091	NCU04091.7	1915839	1917677	+	supercont10.6 of Neurospora crassa (OR74A)
NCU06431	NCU06431.7	1397480	1398700	-	supercont10.3 of Neurospora crassa (OR74A)
NCU02251	NCU02251.7	1076504	1077089	-	supercont10.7 of Neurospora crassa (OR74A)
NCU08252	NCU08252.7	4782348	4783813	+	supercont10.3 of Neurospora crassa (OR74A)
NCU10052	NCU10052.7	3220515	3223117	+	supercont10.7 of Neurospora crassa (OR74A)
NCU05005	NCU05005.7	4115993	4117080	+	supercont10.6 of Neurospora crassa (OR74A)
NCU00461	NCU00461.7	3944256	3949945	-	supercont10.3 of Neurospora crassa (OR74A)
NCU07811	NCU07811.7	207740	209230	+	supercont10.5 of Neurospora crassa (OR74A)
NCU09882	NCU09882.7	6352826	6355594	-	supercont10.1 of Neurospora crassa (OR74A)
NCU04382	NCU04382.7	3552679	3554976	+	supercont10.4 of Neurospora crassa (OR74A)
NCU05391	NCU05391.7	1503490	1504062	+	supercont10.2 of Neurospora crassa (OR74A)
NCU11277	NCU00998.7	2630224	2634008	-	supercont10.5 of Neurospora crassa (OR74A)
NCU01438	NCU01438.7	4746233	4748593	-	supercont10.5 of Neurospora crassa (OR74A)
NCU07501	NCU07501.7	393677	395053	-	supercont10.1 of Neurospora crassa (OR74A)
NCU06588	NCU06588.7	1729248	1730654	+	supercont10.4 of Neurospora crassa (OR74A)
NCU11279	NCU11279.7	2625804	2626827	+	supercont10.5 of Neurospora crassa (OR74A)
NCU07826	NCU07826.7	991649	993222	-	supercont10.3 of Neurospora crassa (OR74A)
NCU11195	NCU11195.7	6862795	6864075	+	supercont10.1 of Neurospora crassa (OR74A)
NCU07663	NCU07663.7	2328259	2329914	-	supercont10.4 of Neurospora crassa (OR74A)
NCU08085	NCU08085.7	214620	215734	+	supercont10.1 of Neurospora crassa (OR74A)
NCU05390	NCU05390.7	1500700	1502874	-	supercont10.2 of Neurospora crassa (OR74A)
NCU04196	NCU04196.7	5168552	5170072	-	supercont10.5 of Neurospora crassa (OR74A)
NCU09595	NCU09595.7	97367	100400	-	supercont10.2 of Neurospora crassa (OR74A)
NCU06202	NCU06202.7	1883503	1887479	+	supercont10.3 of Neurospora crassa (OR74A)
NCU09524	NCU09524.7	14200	15407	-	supercont10.3 of Neurospora crassa (OR74A)
NCU06765	NCU06765.7	2015749	2017438	+	supercont10.2 of Neurospora crassa (OR74A)
NCU00313	NCU00313.7	3409597	3410778	+	supercont10.3 of Neurospora crassa (OR74A)
NCU05969	NCU05969.7	3273186	3275165	-	supercont10.6 of Neurospora crassa (OR74A)
NCU08856	NCU08856.7	113311	115029	+	supercont10.5 of Neurospora crassa (OR74A)
NCU02887	NCU02887.7	8799235	8800759	-	supercont10.1 of Neurospora crassa (OR74A)
NCU08342	NCU08342.7	5685844	5687624	-	supercont10.1 of Neurospora crassa (OR74A)
NCU05376	NCU05376.7	1455434	1457142	+	supercont10.2 of Neurospora crassa (OR74A)
NCU01700	NCU01700.7	2685193	2686284	+	supercont10.2 of Neurospora crassa (OR74A)
NCU04508	NCU04508.7	3142134	3143204	+	supercont10.4 of Neurospora crassa (OR74A)
NCU00181	NCU00181.7	2919186	2920979	-	supercont10.3 of Neurospora crassa (OR74A)
NCU02008	NCU02008.7	1696442	1697182	+	supercont10.1 of Neurospora crassa (OR74A)
NCU00107	NCU00107.7	2644056	2645224	+	supercont10.3 of Neurospora crassa (OR74A)
NCU01918	NCU01918.7	2036119	2037340	+	supercont10.1 of Neurospora crassa (OR74A)
NCU09636	NCU09636.7	6553	8374	+	supercont10.4 of Neurospora crassa (OR74A)
NCU09003	NCU09003.7	4186939	4189077	-	supercont10.3 of Neurospora crassa (OR74A)
NCU06473	NCU06473.7	1534380	1536027	+	supercont10.3 of Neurospora crassa (OR74A)
NCU06995	NCU06995.7	4820128	4821038	-	supercont10.4 of Neurospora crassa (OR74A)
NCU04789	NCU04789.7	821079	823445	-	supercont10.6 of Neurospora crassa (OR74A)
NCU03761	NCU03761.7	2330676	2332367	-	supercont10.5 of Neurospora crassa (OR74A)
NCU02438	NCU02438.7	1770246	1772345	+	supercont10.7 of Neurospora crassa (OR74A)
NCU09256	NCU09256.7	9385257	9386753	+	supercont10.1 of Neurospora crassa (OR74A)
NCU01993	NCU01993.7	1749071	1751339	-	supercont10.1 of Neurospora crassa (OR74A)
NCU03686	NCU03686.7	2070070	2073352	-	supercont10.5 of Neurospora crassa (OR74A)
NCU08148	NCU08148.7	713667	716010	+	supercont10.7 of Neurospora crassa (OR74A)
NCU07150	NCU07150.7	6414593	6416401	+	supercont10.5 of Neurospora crassa (OR74A)
NCU10546	NCU10546.7	4179304	4181413	+	supercont10.5 of Neurospora crassa (OR74A)
NCU01356	NCU01356.7	3760903	3762637	-	supercont10.5 of Neurospora crassa (OR74A)
NCU07215	NCU07215.7	6223717	6224199	-	supercont10.5 of Neurospora crassa (OR74A)
NCU04913	NCU04913.7	714394	714843	-	supercont10.4 of Neurospora crassa (OR74A)
NCU05281	NCU05281.7	5483129	5484094	+	supercont10.4 of Neurospora crassa (OR74A)
NCU11429	NCU16303.7	102849	103781	+	supercont10.1 of Neurospora crassa (OR74A)
NCU02062	NCU02062.7	1498418	1499287	+	supercont10.1 of Neurospora crassa (OR74A)
NCU05313	NCU05313.7	5372000	5373152	-	supercont10.4 of Neurospora crassa (OR74A)
NCU11875	NCU10567.7	4219979	4221350	-	supercont10.3 of Neurospora crassa (OR74A)
NCU06892	NCU06892.7	3569447	3570800	+	supercont10.7 of Neurospora crassa (OR74A)
NCU00728	NCU00728.7	7399376	7401357	+	supercont10.1 of Neurospora crassa (OR74A)
NCU05189	NCU05189.7	5810815	5812192	-	supercont10.4 of Neurospora crassa (OR74A)
NCU02139	NCU02139.7	1116622	1119445	-	supercont10.1 of Neurospora crassa (OR74A)
NCU07687	NCU07687.7	2231088	2232150	-	supercont10.4 of Neurospora crassa (OR74A)
NCU07565	NCU07565.7	4338825	4343211	+	supercont10.3 of Neurospora crassa (OR74A)
NCU11803	NCU16616.7	5749470	5750938	-	supercont10.4 of Neurospora crassa (OR74A)
NCU00591	NCU00591.7	7902755	7905366	-	supercont10.1 of Neurospora crassa (OR74A)
NCU07233	NCU07233.7	6160672	6161715	-	supercont10.5 of Neurospora crassa (OR74A)
NCU05225	NCU05225.7	5690739	5693395	-	supercont10.4 of Neurospora crassa (OR74A)
NCU01768	NCU01768.7	2500999	2505282	-	supercont10.2 of Neurospora crassa (OR74A)
NCU06666	NCU06666.7	4184194	4186723	-	supercont10.5 of Neurospora crassa (OR74A)
NCU02560	NCU02560.7	2735910	2737399	+	supercont10.1 of Neurospora crassa (OR74A)
NCU07810	NCU07810.7	210262	212692	-	supercont10.5 of Neurospora crassa (OR74A)
NCU01613	NCU01613.7	2954650	2957478	-	supercont10.2 of Neurospora crassa (OR74A)
NCU08095	NCU08095.7	240862	241804	-	supercont10.1 of Neurospora crassa (OR74A)
NCU02687	NCU02687.7	3204182	3205502	-	supercont10.1 of Neurospora crassa (OR74A)
NCU06288	NCU06288.7	3023799	3024389	-	supercont10.4 of Neurospora crassa (OR74A)
NCU12063	NCU17057.7	3535598	3536182	-	supercont10.7 of Neurospora crassa (OR74A)
NCU06140	NCU06140.7	2588390	2590090	+	supercont10.7 of Neurospora crassa (OR74A)
NCU01811	NCU01811.7	2347726	2348892	+	supercont10.2 of Neurospora crassa (OR74A)
NCU05625	NCU05625.7	1282165	1284360	-	supercont10.6 of Neurospora crassa (OR74A)
NCU04773	NCU04773.7	767626	770618	+	supercont10.6 of Neurospora crassa (OR74A)
NCU11208	NCU02039.7	1591138	1593827	+	supercont10.1 of Neurospora crassa (OR74A)
NCU05555	NCU05555.7	1532102	1534504	+	supercont10.6 of Neurospora crassa (OR74A)
NCU02056	NCU02056.7	1519955	1521714	+	supercont10.1 of Neurospora crassa (OR74A)
NCU08376	NCU08376.7	5576311	5578196	-	supercont10.1 of Neurospora crassa (OR74A)
NCU11649	NCU17032.7	4224453	4227896	-	supercont10.5 of Neurospora crassa (OR74A)
NCU07575	NCU07575.7	4295551	4297795	-	supercont10.3 of Neurospora crassa (OR74A)
NCU03268	NCU03268.7	5136877	5138561	-	supercont10.1 of Neurospora crassa (OR74A)
NCU09056	NCU09056.7	3772471	3774966	-	supercont10.7 of Neurospora crassa (OR74A)
NCU05668	NCU05668.7	421471	422927	-	supercont10.3 of Neurospora crassa (OR74A)
NCU09053	NCU09053.7	3783955	3785149	-	supercont10.7 of Neurospora crassa (OR74A)
NCU02895	NCU02895.7	8775684	8776971	-	supercont10.1 of Neurospora crassa (OR74A)
NCU01800	NCU01800.7	2375911	2377708	+	supercont10.2 of Neurospora crassa (OR74A)
NCU07398	NCU07398.7	6073247	6076305	-	supercont10.1 of Neurospora crassa (OR74A)
NCU00502	NCU00502.7	8201848	8203577	-	supercont10.1 of Neurospora crassa (OR74A)
NCU01451	NCU01451.7	4697271	4698684	-	supercont10.5 of Neurospora crassa (OR74A)
NCU06587	NCU06587.7	1727695	1728981	-	supercont10.4 of Neurospora crassa (OR74A)
NCU05649	NCU05649.7	1207216	1208442	-	supercont10.6 of Neurospora crassa (OR74A)
NCU06139	NCU06139.7	2585000	2586387	-	supercont10.7 of Neurospora crassa (OR74A)
NCU02860	NCU02860.7	8881736	8882350	-	supercont10.1 of Neurospora crassa (OR74A)
NCU07449	NCU07449.7	584437	585580	+	supercont10.1 of Neurospora crassa (OR74A)
NCU11811	NCU16631.7	5913829	5914260	-	supercont10.4 of Neurospora crassa (OR74A)
NCU06812	NCU06812.7	1874651	1877734	-	supercont10.2 of Neurospora crassa (OR74A)
NCU04166	NCU04166.7	5053003	5055502	+	supercont10.5 of Neurospora crassa (OR74A)
NCU05631	NCU05631.7	1267200	1267961	+	supercont10.6 of Neurospora crassa (OR74A)
NCU00406	NCU00406.7	3747902	3751837	+	supercont10.3 of Neurospora crassa (OR74A)
NCU08089	NCU08089.7	224662	224874	+	supercont10.1 of Neurospora crassa (OR74A)
NCU11285	NCU04788.7	819681	821111	+	supercont10.6 of Neurospora crassa (OR74A)
NCU03533	NCU03533.7	337890	339932	+	supercont10.2 of Neurospora crassa (OR74A)
NCU12012	NCU06081.7	511815	513002	-	supercont10.7 of Neurospora crassa (OR74A)
NCU00764	NCU00764.7	7266073	7266621	+	supercont10.1 of Neurospora crassa (OR74A)
NCU06997	NCU06997.7	4825057	4826345	+	supercont10.4 of Neurospora crassa (OR74A)
NCU09217	NCU09217.7	5882129	5883802	-	supercont10.1 of Neurospora crassa (OR74A)
NCU02270	NCU02270.7	1138787	1141240	-	supercont10.7 of Neurospora crassa (OR74A)
NCU11479	NCU02638.7	2583114	2584420	-	supercont10.1 of Neurospora crassa (OR74A)
NCU04048	NCU04048.7	2076756	2079698	-	supercont10.6 of Neurospora crassa (OR74A)
NCU09574	NCU09574.7	3295868	3296870	+	supercont10.7 of Neurospora crassa (OR74A)
NCU04266	NCU04266.7	5429595	5430479	+	supercont10.5 of Neurospora crassa (OR74A)
NCU08310	NCU08310.7	2451093	2453095	+	supercont10.4 of Neurospora crassa (OR74A)
NCU02718	NCU02718.7	3303926	3307686	-	supercont10.1 of Neurospora crassa (OR74A)
NCU04534	NCU04534.7	2718039	2720367	-	supercont10.7 of Neurospora crassa (OR74A)
NCU05966	NCU05966.7	3283015	3285110	+	supercont10.6 of Neurospora crassa (OR74A)
NCU03166	NCU03166.7	4771279	4772937	-	supercont10.1 of Neurospora crassa (OR74A)
NCU09761	NCU09761.7	4310718	4311708	+	supercont10.2 of Neurospora crassa (OR74A)
NCU07147	NCU07147.7	6422489	6423410	+	supercont10.5 of Neurospora crassa (OR74A)
NCU02048	NCU02048.7	1559929	1564469	+	supercont10.1 of Neurospora crassa (OR74A)
NCU02158	NCU02158.7	1054430	1056607	-	supercont10.1 of Neurospora crassa (OR74A)
NCU08028	NCU08028.7	3963599	3965126	-	supercont10.4 of Neurospora crassa (OR74A)
NCU00106	NCU00106.7	2641327	2643503	-	supercont10.3 of Neurospora crassa (OR74A)
NCU00830	NCU00830.7	7030365	7031989	-	supercont10.1 of Neurospora crassa (OR74A)
NCU02175	NCU02175.7	984670	987409	+	supercont10.1 of Neurospora crassa (OR74A)
NCU11731	NCU16805.7	2259692	2261264	-	supercont10.4 of Neurospora crassa (OR74A)
NCU00595	NCU00595.7	7887149	7890546	-	supercont10.1 of Neurospora crassa (OR74A)
NCU06751	NCU06751.7	2065046	2066146	+	supercont10.2 of Neurospora crassa (OR74A)
NCU02127	NCU02127.7	1156562	1158519	-	supercont10.1 of Neurospora crassa (OR74A)
NCU02488	NCU02488.7	2488930	2489846	-	supercont10.1 of Neurospora crassa (OR74A)
NCU09737	NCU09737.7	1975483	1977724	-	supercont10.4 of Neurospora crassa (OR74A)
NCU01400	NCU01400.7	3903539	3905059	-	supercont10.5 of Neurospora crassa (OR74A)
NCU08785	NCU08785.7	5130163	5131035	-	supercont10.3 of Neurospora crassa (OR74A)
NCU04937	NCU04937.7	799072	800077	-	supercont10.4 of Neurospora crassa (OR74A)
NCU12084	NCU12084.7	48620	49910	+	supercont10.6 of Neurospora crassa (OR74A)
NCU09420	NCU09420.7	3075950	3076927	-	supercont10.7 of Neurospora crassa (OR74A)
NCU11574	NCU16911.7	9085172	9086180	-	supercont10.1 of Neurospora crassa (OR74A)
NCU00561	NCU00561.7	7994515	7996138	+	supercont10.1 of Neurospora crassa (OR74A)
NCU03822	NCU03822.7	2526899	2528604	+	supercont10.5 of Neurospora crassa (OR74A)
NCU08784	NCU08784.7	5131725	5133070	-	supercont10.3 of Neurospora crassa (OR74A)
NCU09175	NCU09175.7	258034	259768	+	supercont10.3 of Neurospora crassa (OR74A)
